article_id,group_reprint_id
ArkansasCityTraveler1892,SanFranciscoExaminer1892_reprint
TheOmahaDailyBee1892,SanFranciscoExaminer1892_reprint
TheStPaulDailyNews1892,SanFranciscoExaminer1892_reprint
ChicagoDailyTribune1892,SanFranciscoExaminer1892_reprint
TheWichitaDailyEagle1892,SanFranciscoExaminer1892_reprint
TheUpperDesMoines1892,SanFranciscoExaminer1892_reprint
BismarckDailyTribune1892,SanFranciscoExaminer1892_reprint
CurrentLiterature1892,SanFranciscoExaminer1892_reprint
TimesOfIndia1892,SanFranciscoExaminer1892_reprint
EveningNews1892,SanFranciscoExaminer1892_reprint
TheTimaruHerald1892,SanFranciscoExaminer1892_reprint
ThamesAdvertiser1892,SanFranciscoExaminer1892_reprint
