person_writing,type,key,name,write_up,notes
Rachel,persName,#bbo,Benjamin Louis Eulalie de Bonneville,"Benjamin Louis Eulalie de Bonneville (1795-1878): a soldier and fur trader. Bonneville was commissioned at the United States Military Academy at West Point and spent much of his career doing reconnaissance of Native American tribes for the Army.  During this time, he also explored the Rocky Mountains. He served during the Civil War, eventually becoming a brigadier general.","http://www.britannica.com/EBchecked/topic/73181/Benjamin-Louis-Eulalie-de-Bonneville

http://www.oregonhistorictrailsfund.org/trails/benjamin-bonneville-route-1833-1834/#historical-context"
Rachel,persName,#bsc,Bennett Mason Scott,"Bennett Mason Scott (1870-1949): Scott O'Dell's father. A Midwesterner, Scott moved west to California shortly after his marriage and before the birth of his first child. He worked for the Union Pacific Railroad and later owned drug stores in Los Angeles.",http://books.google.com/books?id=KIESL4B9dWkC&pg=PA14&lpg=PA14&dq=%22Bennett+Mason+Scott%22&source=bl&ots=y8o5L0T7ck&sig=1ZOFVhC1tuCkOYdlC-cbPotl1ZE&hl=en&sa=X&ei=6WmXU_T8PJKLyASF-ILwDw&ved=0CDQQ6AEwAw#v=onepage&q=%22Bennett%20Mason%20Scott%22&f=false
EA,"persName type=""military""",#bbe,Bernard Bernardoni,Bernard Bernardoni (1903-1971): the president of the Galveston Reserve Officers and a first lieutenant of infantry reserves.  He was an economic analyst for the US Department of State in North Africa from 1939 to 1947.,http://www.rosenberg-library-museum.org/displays/treasure/2010/10-scimitar/scimitar.htm
Baseball card,"persName type=""nativeamerican""",#bha,Black Hawk,"Black Hawk (?-1845?): a California Indian who lived at San Pedro near Los Angeles, Black Hawk was given this name by the crew of the ship <i>Alert</i>. According to George Nidever and William Dane Phelps, Black Hawk was a native of San Nicolas Island who was brought to the mainland in 1835. Secondary accounts state Black Hawk died from a fall in 1845 and was buried on Deadman Island in San Pedro Bay. In 1928, the island was dredged away as part of improvements to the San Pedro Harbor.",
Sara,"persName type=""missionfather""",#bcr,Blaise Cronin,"Blaise Cronin (1918-99): a Franciscan priest who spent more than fifty years as a teacher, principal, and chaplain at Saint Mary’s, the oldest Catholic high school in Arizona. As a student friar at the Franciscan School of Theology in Santa Barbara (also known as the ""Old Mission Theological Seminary""), Cronin and fellow classmate Kenneth Henriques uncovered the Lone Woman’s baptismal record, which had been obscured in the Santa Barbara Mission Burial Registry for a number of years. Before their rediscovery of the document, historians had relied upon George Nidever’s reporting of the baptism but lacked proof that the baptism had actually taken place.",http://www.smknightsblog.org/fr-blaise-cronin-remembered/
Rachel,persName,#btr,Blanche Trask,"Blanche Trask (1865-1916): poet, author, and botanist. Trask spent two decades gathering plant and archaeological specimens from the Channel Islands.","https://archive.org/stream/outwestland05archrich#page/n13/mode/2up/search/blanche+trask

http://www.islaearth.org/articles/October2009.php"
,persName,#btas,Boris Tasarov,"Boris Tasarov: a Russian otter hunter and fur trader. Tasarov was in charge of a Russian American Company hunting group that was taken to San Nicolas Island on the ship <i>Forester</i> in 1815. He and his hunting crew pursued otters on San Nicolas, Santa Rosa, and Catalina Islands before paddling to San Pedro, on the mainland.  They were captured by the Spanish and detailed for illegal hunting in Spanish waters; the men were sent to Santa Barbara and Monterey, California, while Tarasov was sent to Mexico.  However, he escaped from Spanish authorities in 1819. Ultimately, Spanish attempts to prevent hunting by foreigners failed, and the otter population was decimated. ","https://www.nps.gov/subjects/islandofthebluedolphins/boris-tarasov.htm
https://daily.jstor.org/juana-maria-blue-dolphins/[SS2] 
Chiles, Frederic Claire. California's Channel Islands: A History, p. 198 U of OK Press, 2015. https://books.google.com/books?id=FDZLBgAAQBAJ&pg=PA198&lpg=PA198&dq=Boris+Tasarov+otter+hunter&source=bl&ots=eWLMrqkAGC&sig=Ir89kdQyaDdHodgBfnLVBuquoig&hl=en&sa=X&ved=0ahUKEwiVi967s_XUAhWBHT4KHaYLBlgQ6AEIMDAB#v=onepage&q=Boris%20Tasarov%20otter%20hunter&f=false
"
Sara,"persName type=""frontiersman""",#bow,Bowen,Bowen: a member of the 1830-33 hunting and trapping expedition of which George Nidever was a part.,"Weber, David J. The Taos Trappers: The Fur Trade in the Far Southwest, 1540-1846. Norman, Oklahoma: University of Oklahoma Press, 1971."
Rachel,"persName type=""author""",#bma,Brandtz Mayer,"Brandtz Mayer (1809-79): a lawyer, writer, historian, and prominent citizen of Baltimore. Mayer attended St. Mary's Seminary and the University of Maryland. After a short stint practicing law, he served as a diplomat to Mexico and began writing extensively. Mayer edited the <i>Baltimore News American</i>, wrote for various newspapers, and helped establish both the Maryland Historical Society and the state's first archive. He served in the Union Army during the Civil War. His published works include <i>Mexico as It Was and as It Is</i> (1844), <i>Mexico, Aztec, Spanish and Republican</i> (1851), and <i>Calvert and Penn</i> (1852).",
Rachel,"name type=""fictional""",#bmo,Bright Morning,"Bright Morning: a fictional Navajo girl and the protagonist of Scott O'Dell's Newbery Honor book, <i>Sing Down the Moon</i> (1970).",
"Sara
","persName type=""author""",#bbr,Bruce Bryan,"Bruce Bryan (1906-2004): self-taught anthropologist (high school graduate) whose work concentrated on the American Southwest. He excavated in Arizona, New Mexico, and California, leading an important dig on San Nicolas Island in 1926. This excavation, organized by the Natural History Museum of Los Angeles County, included Charles W. Hatton and Arthur R. Sanger as field assistants. During two significant periods in his career, Bryan was employed by the Southwest Museum in Los Angeles; during the 1960s, he served as editor of the museum’s journal, the <i>Masterkey</i>.","Houlihan, P.T. (1983). Bruce Bryan at the Southwest Museum.  The Masterkey, 57(4). 125-128. Icolari, D. (Ed.). (1973). Reference encyclopedia of the American Indian, 2nd ed., Vol. 2.  Who’s who. Rye, NY (1990): Todd Publications. p. 38; http://islapedia.com/index.php?title=BRYAN,_BRUCE"
Rachel,"persName type=""seaman""",#burke,Burke,"Burke: Santiago's account does not give further information on this individual, but it possibly refers to Captain James W. Burke, an Irish sea captain who settled in Santa Barbara in the 1820s.",http://books.google.com/books?id=U2sPAwAAQBAJ&pg=PA133&lpg=PA133&dq=captain+burke+santa+barbara&source=bl&ots=9fch4jwXke&sig=eorw-fIrL2li-W0vA47gUJDobRI&hl=en&sa=X&ei=fS-eU-3SL460yASo6oAQ&ved=0CFsQ6AEwCA#v=snippet&q=burke&f=false
Rachel,persName,#cerum,C. E. Rumsey,"C. E. Rumsey: no further information has been found excepting his association with the American Anthropological Association, the American Folklore Society, and the Archaeological Institute of America during this time.","https://archive.org/stream/jstor-534699/534699_djvu.txt

http://scans.library.utoronto.ca/pdf/1/6/americanjourser210archuoft/americanjourser210archuoft_bw.pdf"
Rachel,"persName type=""military""",#cpat,C. P. Patterson,"C. P. Patterson (1851-81): a soldier and engineer. Born in Mississippi, Patterson attended Georgetown College, served in the United States Navy and the US Coast Survey, and made his living as a steamship captain during the boom following California's entry into the United States. Patterson later rejoined the Coast Survey, where he remained employed until his death.",http://www.lib.noaa.gov/noaainfo/heritage/coastandgeodeticsurvey/Pattersonchapter.pdf
Rachel,"persName type=""author""",#author_c,C.,"C.: person who wrote an anonymous letter about the Lone Woman of San Nicolas Island to the <i>Daily Herald</i> (Newburyport, MA). It was later reprinted as ""A Female Crusoe"" in other newspapers, including the <i>Anti-Slavery Bugle</i> (New Lisbon, OH) and the <i>Evening Star</i> (Washington, DC).",
Sara,"name type=""fictional""",#ccl,Caleb Clegg,"Caleb Clegg: fictional, half-mad sailor in Scott O'Dell's sea novel <i>The Dark Canoe</i> (1968).",
Rachel,"persName type=""author""",#cgr,Campbell Grant,"Campbell Grant (1909-92): an artist and author. Grant attended the California College of Arts and Crafts and the Santa Barbara School of the Arts before spending more than a decade with Walt Disney Studios, working on films like <i>Fantasia</i>, <i>Pinocchio</i>, and <i>Snow White</i>. He taught high school, painted murals with the New Deal's Works Progress Administration and illustrated books before discovering a passion for Native American rock art. Grant is credited with the discovery and subsequent preservation of nearly fifty Native American rock painting sites.","http://www.annexgalleries.com/artists/biography/861/Grant/Campbell

http://articles.latimes.com/1989-02-11/local/me-1996_1_american-indian-rock-art

http://www.aaa.si.edu/collections/interviews/oral-history-interview-campbell-grant-11746

http://aifg.arizona.edu/film/cave-paintings-chumash-indians"
Rachel,persName,#aub,Aubrey,"Captain Aubrey: a man who broke a new trail between San Francisco and Santa Fe in 1853, and recommended the route as a possible railroad line of approximately 1000 miles.","SF Daily Herald 5 Dec. 1853, ""Captain Aubrey's trip across the Great Basin"""
EA,persName,#burr,Burrows,"Captain Burrows (?-1846): the commander of a detachment of forty-five American volunteers during the Mexican-American War. He and his men were responsible for defeating a group of two hundred Californians at Salinas near Monterey on November 15, 1846. Although it was a complete victory for the Americans, he died at the battle along with three of his men.",https://books.google.com/books?id=4Ztz5znHbVAC&pg=PA652&lpg=PA652&dq=salinas+capt+burrows&source=bl&ots=rVlXumIUl-&sig=qecZpBzKfNrh2FK4DOs09upV-sk&hl=en&sa=X&ved=0CB8Q6AEwAGoVChMIy6_di7XmxwIVwo4NCh0ZKA0Q#v=onepage&q=salinas%20capt%20burrows&f=false https://books.google.com/books?id=_Q1UAAAAIAAJ&pg=PA123&lpg=PA123&dq=salinas+capt+burrows&source=bl&ots=f4XkcYkyEr&sig=yMPP9da07Br-WBFtMbrFTtC8uj4&hl=en&sa=X&ved=0CCoQ6AEwAmoVChMIpLmN9LbmxwIVRpQNCh1r_gSW#v=onepage&q=salinas%20capt%20burrows&f=false
Rachel,persName,#dhi,Captain Daniel A. Hill,"Captain Daniel A. Hill (1797-1865): a California entrepreneur and landowner. Raised on a farm near Boston, Hill left home and served on the <i>Rebecca</i>, heading to Hawaii, in 1822. From there, he became first mate on <i>The Rover</i>, eventually landing in California. Here Hill met the granddaughter of José Francisco Ortega, Rafaela, whom he married in 1825 after converting to Catholicism and becoming a Mexican citizen.","http://en.wikipedia.org/wiki/Rancho_La_Goleta
http://www.independent.com/news/2010/oct/06/pioneer-past/"
EA,"persName type=""military""",#eco,"Captain E. M. Condra, Jr.","Captain E. M. Condra, Jr.: the commanding officer of the Pacific Missile Test Center from July 23, 1952 to October 30, 1954.",http://www.a4skyhawk.org/content/pacific-missile-test-center-0
Baseball card,"persName type=""seaman""",#tru,Horatio Gates Trussell,"Captain Horatio Gates Trussell (1814?-80?): a sea captain from Maine listed as a tradesman in the 1852 California census of Santa Barbara. According to George Nidever, Horatio Gates Trussell offered him $1,000 to exhibit the Lone Woman in San Francisco as a circus curiosity.  In his memoir, Nidever states that he turned down Trussell’s offer.",
Carina,"persName type=""seaman""",#jnight,Captain John Nightingale,"Captain John Nightingale: a British surgeon-captain. He resigned from his post on March 24, 1897.",
Carina,persName,#rompsr,"Romualdo Pacheco, Sr.","Captain José Antonio Romualdo Pacheco (1795-1831): a Mexican general from Guanajuato who relocated to Alta California in 1825. He married Ramona Carillo, and the couple had a son, Antonio Romualdo Pacheco, Jr., who would become sitting governor of California and a member of the US House of Representatives. Pacheco Sr. was killed protecting Mexican governor Manuel Victoria at the first battle of Cahuenga Pass, only five weeks after Pacheco Jr. was born. ","""PACHECO, Romualdo."" US House of Representatives: History, Art & Archives. Accessed March 09, 2017. http://history.house.gov/People/Listing/P/PACHECO,-Romualdo-(P000003)/.
""CPT Jose Antonio Romualdo Pacheco (1795 - 1831) - Find A Grave Memorial."" CPT Jose Antonio Romualdo Pacheco (1795 - 1831) - Find A Grave Memorial. Accessed March 24, 2017. https://www.findagrave.com/cgi-bin/fg.cgi?page=gr&GRid=163482694.
"
