object_id,article_id,image_display_template,image_parent_id,image_file,image_object_location
Bennett1936_Original,Bennett1936,compound_object,,Bennett1936_DigSur_1.png,objects/Bennett1936/Bennett1936_DigSur_1.png
Bennett1936_img1,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_1.png,objects/Bennett1936/Bennett1936_DigSur_1.png
Bennett1936_img2,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_2.png,objects/Bennett1936/Bennett1936_DigSur_2.png
Bennett1936_img3,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_3.png,objects/Bennett1936/Bennett1936_DigSur_3.png
Bennett1936_img4,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_4.png,objects/Bennett1936/Bennett1936_DigSur_4.png
Bennett1936_img5,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_5.png,objects/Bennett1936/Bennett1936_DigSur_5.png
Bennett1936_img6,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_6.png,objects/Bennett1936/Bennett1936_DigSur_6.png
Bennett1936_img7,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_7.png,objects/Bennett1936/Bennett1936_DigSur_7.png
Bennett1936_img8,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_8.png,objects/Bennett1936/Bennett1936_DigSur_8.png
Bennett1936_img9,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_9.png,objects/Bennett1936/Bennett1936_DigSur_9.png
Bennett1936_img10,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_10.png,objects/Bennett1936/Bennett1936_DigSur_10.png
Bennett1936_img11,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_11.png,objects/Bennett1936/Bennett1936_DigSur_11.png
Bennett1936_img12,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_12.png,objects/Bennett1936/Bennett1936_DigSur_12.png
Bennett1936_img13,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_13.png,objects/Bennett1936/Bennett1936_DigSur_13.png
Bennett1936_img14,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_14.png,objects/Bennett1936/Bennett1936_DigSur_14.png
Bennett1936_img15,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_15.png,objects/Bennett1936/Bennett1936_DigSur_15.png
Bennett1936_img16,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_16.png,objects/Bennett1936/Bennett1936_DigSur_16.png
Bennett1936_img17,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_17.png,objects/Bennett1936/Bennett1936_DigSur_17.png
Bennett1936_img18,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_18.png,objects/Bennett1936/Bennett1936_DigSur_18.png
Bennett1936_img19,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_19.png,objects/Bennett1936/Bennett1936_DigSur_19.png
Bennett1936_img20,Bennett1936,image,Bennett1936_Original,Bennett1936_DigSur_20.png,objects/Bennett1936/Bennett1936_DigSur_20.png
Benson1997_Original,Benson1997,compound_object,,Benson1997_DigSur_1.png,objects/Benson1997/Benson1997_DigSur_1.png
Benson1997_img1,Benson1997,image,Benson1997_Original,Benson1997_DigSur_1.png,objects/Benson1997/Benson1997_DigSur_1.png
Benson1997_img2,Benson1997,image,Benson1997_Original,Benson1997_DigSur_2.png,objects/Benson1997/Benson1997_DigSur_2.png
Benson1997_img3,Benson1997,image,Benson1997_Original,Benson1997_DigSur_3.png,objects/Benson1997/Benson1997_DigSur_3.png
Benson1997_img4,Benson1997,image,Benson1997_Original,Benson1997_DigSur_4.png,objects/Benson1997/Benson1997_DigSur_4.png
BismarckDailyTribune1885_Original,BismarckDailyTribune1885,compound_object,,BismarckDailyTribune1885_DigSur_1.png,objects/BismarckDailyTribune1885/BismarckDailyTribune1885_DigSur_1.png
BismarckDailyTribune1885_img1,BismarckDailyTribune1885,image,BismarckDailyTribune1885_Original,BismarckDailyTribune1885_DigSur_1.png,objects/BismarckDailyTribune1885/BismarckDailyTribune1885_DigSur_1.png
BismarckDailyTribune1885_img2,BismarckDailyTribune1885,image,BismarckDailyTribune1885_Original,BismarckDailyTribune1885_DigSur_2.png,objects/BismarckDailyTribune1885/BismarckDailyTribune1885_DigSur_2.png
BismarckDailyTribune1885_img3,BismarckDailyTribune1885,image,BismarckDailyTribune1885_Original,BismarckDailyTribune1885_DigSur_3.png,objects/BismarckDailyTribune1885/BismarckDailyTribune1885_DigSur_3.png
BismarckDailyTribune1885_img4,BismarckDailyTribune1885,image,BismarckDailyTribune1885_Original,BismarckDailyTribune1885_DigSur_4.png,objects/BismarckDailyTribune1885/BismarckDailyTribune1885_DigSur_4.png
BismarckDailyTribune1885_img5,BismarckDailyTribune1885,image,BismarckDailyTribune1885_Original,BismarckDailyTribune1885_DigSur_5.png,objects/BismarckDailyTribune1885/BismarckDailyTribune1885_DigSur_5.png
BismarckDailyTribune1885_img6,BismarckDailyTribune1885,image,BismarckDailyTribune1885_Original,BismarckDailyTribune1885_DigSur_6.png,objects/BismarckDailyTribune1885/BismarckDailyTribune1885_DigSur_6.png
BismarckDailyTribune1885_img7,BismarckDailyTribune1885,image,BismarckDailyTribune1885_Original,BismarckDailyTribune1885_DigSur_7.png,objects/BismarckDailyTribune1885/BismarckDailyTribune1885_DigSur_7.png
BismarckDailyTribune1885_img8,BismarckDailyTribune1885,image,BismarckDailyTribune1885_Original,BismarckDailyTribune1885_DigSur_8.png,objects/BismarckDailyTribune1885/BismarckDailyTribune1885_DigSur_8.png
BismarckDailyTribune1892_Original,BismarckDailyTribune1892,compound_object,,BismarckDailyTribune1892_DigSur_1.png,objects/BismarckDailyTribune1892/BismarckDailyTribune1892_DigSur_1.png
BismarckDailyTribune1892_img1,BismarckDailyTribune1892,image,BismarckDailyTribune1892_Original,BismarckDailyTribune1892_DigSur_1.png,objects/BismarckDailyTribune1892/BismarckDailyTribune1892_DigSur_1.png
BismarckDailyTribune1892_img2,BismarckDailyTribune1892,image,BismarckDailyTribune1892_Original,BismarckDailyTribune1892_DigSur_2.png,objects/BismarckDailyTribune1892/BismarckDailyTribune1892_DigSur_2.png
BismarckDailyTribune1892_img3,BismarckDailyTribune1892,image,BismarckDailyTribune1892_Original,BismarckDailyTribune1892_DigSur_3.png,objects/BismarckDailyTribune1892/BismarckDailyTribune1892_DigSur_3.png
BismarckDailyTribune1892_img4,BismarckDailyTribune1892,image,BismarckDailyTribune1892_Original,BismarckDailyTribune1892_DigSur_4.png,objects/BismarckDailyTribune1892/BismarckDailyTribune1892_DigSur_4.png
BismarckDailyTribune1892_img5,BismarckDailyTribune1892,image,BismarckDailyTribune1892_Original,BismarckDailyTribune1892_DigSur_5.png,objects/BismarckDailyTribune1892/BismarckDailyTribune1892_DigSur_5.png
Blanco1882_Original,Blanco1882,compound_object,,Blanco1882_DigSur_1.png,objects/Blanco1882/Blanco1882_DigSur_1.png
Blanco1882_img1,Blanco1882,image,Blanco1882_Original,Blanco1882_DigSur_1.png,objects/Blanco1882/Blanco1882_DigSur_1.png
Blanco1882_img2,Blanco1882,image,Blanco1882_Original,Blanco1882_DigSur_2.png,objects/Blanco1882/Blanco1882_DigSur_2.png
Blanco1882_img3,Blanco1882,image,Blanco1882_Original,Blanco1882_DigSur_3.png,objects/Blanco1882/Blanco1882_DigSur_3.png
Blanco1882_img4,Blanco1882,image,Blanco1882_Original,Blanco1882_DigSur_4.png,objects/Blanco1882/Blanco1882_DigSur_4.png
Blanco1882_img5,Blanco1882,image,Blanco1882_Original,Blanco1882_DigSur_5.png,objects/Blanco1882/Blanco1882_DigSur_5.png
Blanco1882_img6,Blanco1882,image,Blanco1882_Original,Blanco1882_DigSur_6.png,objects/Blanco1882/Blanco1882_DigSur_6.png
Blanco1882_img7,Blanco1882,image,Blanco1882_Original,Blanco1882_DigSur_7.png,objects/Blanco1882/Blanco1882_DigSur_7.png
